Address,City,State,Zip,All Services,Zinc Treatment,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,,Roof Details >> Roof: >> Type,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size,,,
10111 Northeast 16th Place,Bellevue,Washington,98004,"Moss Removal (1, $530), Preventative Roof Treatment - Chemical Spray (1, $230), Preventative Roof Treatment - Zinc Powder (1, $210), Gutter Clearing (1, $380), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-130), 60-Day Workmanship Guarantee (1, $0), Interior Window Cleaning (1, $380), Exterior Window Cleaning (1, $520), Screen Cleaning (1, $120), Track Cleaning (1, $323), Window Frame Cleaning  (1, $208), Window Cleaning Discount (1, $-150), Discount (1, $-50)",210,Composite - Architectural,5947,4700000,4307814,2,,Composite - Architectural,10 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft,,,
10116 34th Avenue Southeast,Everett,Washington,98208,"Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1595), Interior Window Cleaning (1, $170), Exterior Window Cleaning (1, $245), Screen Cleaning (1, $50), Track Cleaning (1, $144), Window Frame Cleaning  (1, $98), Window Cleaning Discount (1, $-55)",165,Composite - Architectural,2497,737000,914113,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10116 34th Avenue Southeast,Everett,Washington,98208,"Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $245), Screen Cleaning (1, $50), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0)",180,Composite - Architectural,2497,737000,914113,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10121 Northwest Fleetwood Drive,Portland,Oregon,97229,"Gutter Clearing (1, $320), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $210), Preventative Roof Treatment - Zinc Powder (1, $195), Exterior Gutter Washing (1, $255), Gutter Guard Installation (1, $1600), Interior Window Cleaning (1, $200), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $60), Track Cleaning (1, $170), Window Frame Cleaning  (1, $108), Window Cleaning Discount (1, $-70), Skylight Cleaning (1, $40), Pressure Washing - Driveway (1, $325)",195,Composite - Architectural,2962,885000,744200,2,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
10126 66th Avenue South,Seattle,Washington,98178,"Gutter Clearing (1, $290), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $235), Interior Window Cleaning (1, $190), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $50), Track Cleaning (1, $161), Window Frame Cleaning  (1, $114), Skylight Cleaning (1, $40), Solar Panel Cleaning (1, $140)",165,Composite - Architectural,3240,987200,915463,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
10126 66th Avenue South,Seattle,Washington,98178,"Gutter Clearing (1, $290), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $190), Exterior Window Cleaning (1, $285), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $50), Window Cleaning Discount (1, $-60), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $235), Gutter Guard Installation (1, $1450), Track Cleaning (1, $161), Window Frame Cleaning  (1, $114), Skylight Cleaning (1, $40), Solar Panel Cleaning (1, $140)",165,Composite - Architectural,3240,987200,915463,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
10127 225th Terrace Northeast,Redmond,Washington,98053,"Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $140), Exterior Gutter Washing (1, $175), Interior Window Cleaning (1, $235), Exterior Window Cleaning (1, $290), Screen Cleaning (1, $45), Track Cleaning (1, $199), Window Frame Cleaning  (1, $116), Window Cleaning Discount (1, $-50)",140,Composite - Architectural,3040,1650100,1529475,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,20ft,,,
10133 Northeast 147th Street,Bothell,Washington,98011,"Gutter Clearing (1, $385), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $220), Preventative Roof Treatment - Zinc Powder (1, $190), Exterior Gutter Washing (1, $315), Gutter Guard Installation (1, $2040), House Wash (1, $1440), Interior Window Cleaning (1, $250), Exterior Window Cleaning (1, $345), Screen Cleaning (1, $60), Track Cleaning (1, $212), Window Frame Cleaning  (1, $138), Window Cleaning Discount (1, $-80)",190,Composite - Architectural,3742,1872300,1652850,2,,Composite - Architectural,5 / 12,1 - 3,32ft,9 - 20,32ft,9 - 20,32ft,,,
10135 North Smith Street,Portland,Oregon,97203,"Interior Window Cleaning (1, $135), Exterior Window Cleaning (1, $175), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $30), Exterior window cleaning sunroom  (1, $100), Window Cleaning Discount (1, $-60), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $140), Preventative Roof Treatment - Zinc Powder (1, $120), Gutter Clearing (1, $240), Exterior Gutter Washing (1, $170), Gutter Guard Installation (1, $850), Track Cleaning (1, $114), Window Frame Cleaning  (1, $70)",120,Composite - Architectural,1386,448000,474689,2,,Composite - Architectural,10 / 12,1 - 3,20ft,4 - 8,20ft,4 - 8,20ft,,,
1014 Northeast 97th Street,Seattle,Washington,98115,"Partial Moss Removal (1, $395), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $300), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Skylight Cleaning (1, $90), Booking Discount (1, $-85), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $250), Gutter Guard Installation (1, $1475), House Wash (1, $1375), Interior Window Cleaning (1, $135), Exterior Window Cleaning (1, $200), Screen Cleaning (1, $35), Track Cleaning (1, $114), Window Frame Cleaning  (1, $80), Window Cleaning Discount (1, $-50)",160,Composite - Architectural,630,761200,919600,N/A,,Composite - Architectural,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
1014 Southeast Spokane Street,Portland,Oregon,97202,"Gutter Clearing (1, $310), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Reseal (1, $150), Booking Discount (1, $-75), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $250), Gutter Guard Installation (1, $1550), Interior Window Cleaning (1, $185), Exterior Window Cleaning (1, $260), Screen Cleaning (1, $55), Track Cleaning (1, $157), Window Frame Cleaning  (1, $104), Window Cleaning Discount (1, $-65)",180,Composite - Architectural,1406,717000,681900,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
10151 North Lombard Street,Portland,Oregon,97203,"Moss Removal (1, $520), Preventative Roof Treatment - Chemical Spray (1, $140), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-90), 60-Day Workmanship Guarantee (1, $0), Gutter Guard Installation (1, $1250), House Wash (1, $1350), Interior Window Cleaning (1, $230), Exterior Window Cleaning (1, $290), Screen Cleaning (1, $90), Track Cleaning (1, $195), Window Frame Cleaning  (1, $116), Window Cleaning Discount (1, $-120), Pressure Washing - Driveway (1, $550)",160,Composite - Architectural,840,426400,1560,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
10155 Southwest Todd Street,Portland,Oregon,97225,"Moss Removal (1, $380), Preventative Roof Treatment - Zinc Powder (1, $190), Gutter Clearing (1, $310), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-90), 60-Day Workmanship Guarantee (1, $0), Interior Window Cleaning (1, $190), Exterior Window Cleaning (1, $280), Screen Cleaning (1, $90), Track Cleaning (1, $161), Window Frame Cleaning  (1, $112)",190,Composite - Architectural,2278,834900,753213,N/A,,Composite - Architectural,8 / 12,1 - 3,20ft,1 - 3,20ft,1 - 3,20ft,,,
1018 Northeast 97th Street,Seattle,Washington,98115,"Moss Removal (1, $660), Preventative Roof Treatment - Chemical Spray (1, $200), Preventative Roof Treatment - Zinc Powder (1, $175), Gutter Clearing (1, $300), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-150), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $250), Gutter Guard Installation (1, $1425), House Wash (1, $1720), Interior Window Cleaning (1, $270), Exterior Window Cleaning (1, $365), Screen Cleaning (1, $65), Track Cleaning (1, $229), Window Frame Cleaning  (1, $146), Window Cleaning Discount (1, $-80)",175,Composite - Architectural,1930,1066300,689925,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10184 Northwest Fleetwood Drive,Portland,Oregon,97229,"Gutter Clearing (1, $385), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $220), Preventative Roof Treatment - Zinc Powder (1, $190), Exterior Gutter Washing (1, $310), Gutter Guard Installation (1, $2040), Interior Window Cleaning (1, $290), Exterior Window Cleaning (1, $360), Screen Cleaning (1, $70), Track Cleaning (1, $246), Window Frame Cleaning  (1, $114), Window Cleaning Discount (1, $-85)",190,Composite - Architectural,2769,751800,853438,N/A,,Composite - Architectural,10 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
102 18th Avenue East,Seattle,Washington,98112,"Preventative Roof Treatment - Chemical Spray (1, $280), Preventative Roof Treatment - Zinc Powder (1, $215), Gutter Clearing (1, $580), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $400), Gutter Guard Installation (1, $2235), House Wash (1, $2140), Interior Window Cleaning (1, $510), Exterior Window Cleaning (1, $575), Screen Cleaning (1, $85), Track Cleaning (1, $433), Window Frame Cleaning  (1, $230), Skylight Cleaning (1, $95), Pressure Washing - Driveway (1, $385)",215,Composite - Architectural,5590,2412700,645367,N/A,,Composite - Architectural,8 / 12,4 - 8,40ft,4 - 8,40ft,20+,40ft,,,
102 Northwest 46th Street,Seattle,Washington,98107,"Interior Window Cleaning (1, $150), Exterior Window Cleaning (1, $205), Screen Cleaning (1, $30), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-80), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $130), Gutter Clearing (1, $240), Exterior Gutter Washing (1, $190), Gutter Guard Installation (1, $1180), House Wash (1, $950), Track Cleaning (1, $127), Window Frame Cleaning  (1, $82)",130,Composite - Architectural,1280,963000,1186063,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
102 Northwest 50th Street,Seattle,Washington,98107,"Moss Removal (1, $775), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Discount (1, $-138), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $215), Gutter Guard Installation (1, $1320), Interior Window Cleaning (1, $250), Exterior Window Cleaning (1, $360), Screen Cleaning (1, $65), Track Cleaning (1, $212), Window Frame Cleaning  (1, $144), Window Cleaning Discount (1, $-70)",160,Composite - Architectural,1780,1068900,1049525,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10200 Roosevelt Way Northeast,Seattle,Washington,98125,"Moss Removal (1, $735), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $255), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-90), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $190), Interior Window Cleaning (1, $170), Exterior Window Cleaning (1, $215), Screen Cleaning (1, $30), Track Cleaning (1, $144), Window Frame Cleaning  (1, $86), Window Cleaning Discount (1, $-40)",160,Composite - Architectural,2030,1009600,809138,N/A,,Composite - Architectural,7 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10201 Northeast 129th Avenue,Vancouver,Washington,98682,"Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Booking Discount (1, $-50), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1310), House Wash (1, $1240), Interior Window Cleaning (1, $205), Exterior Window Cleaning (1, $265), Screen Cleaning (1, $50), Track Cleaning (1, $174), Window Frame Cleaning  (1, $106), Window Cleaning Discount (1, $-80), Pressure Washing - Driveway & Front Walkway (1, $380)",150,Composite - Architectural,2937,670500,600263,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,28ft,,,
10206 37th Place Southwest,Seattle,Washington,98146,"Starter Flashing & Kickout Flashing Installation  (1, $520), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $265), Exterior Gutter Washing (1, $190), Interior Window Cleaning (1, $230), Exterior Window Cleaning (1, $295), Screen Cleaning (1, $45), Track Cleaning (1, $195), Window Frame Cleaning  (1, $118), Window Cleaning Discount (1, $-55), Skylight Cleaning (1, $45)",155,Composite - Architectural,2400,1054600,793988,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
1021 233rd Place Northeast,Sammamish,Washington,98074,"Interior Window Cleaning (1, $245), Exterior Window Cleaning (1, $330), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $60), Window Cleaning Discount (1, $-85), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $210), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $375), Exterior Gutter Washing (1, $310), Gutter Guard Installation (1, $2045), Track Cleaning (1, $208), Window Frame Cleaning  (1, $132)",180,Composite - Architectural,2560,1582800,1465613,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
10213 Southwest 69th Avenue,Tigard,Oregon,97223,"Gutter Clearing (1, $315), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Father's Day Special Offer: 25% Discount (1, $-78), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $195), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $215), Gutter Guard Installation (1, $1008), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $255), Screen Cleaning (1, $50), Track Cleaning (1, $178), Window Frame Cleaning  (1, $102)",170,Composite - Architectural,2478,780000,715425,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
10215 162nd Avenue Northeast,Redmond,Washington,98052,"Gutter Clearing (1, $215), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $185), Interior Window Cleaning (1, $160), Exterior Window Cleaning (1, $195), Screen Cleaning (1, $45), Track Cleaning (1, $136), Window Frame Cleaning  (1, $78)",150,Composite - Architectural,1480,1204100,1317414,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
10219 Kelly Road Northeast,Carnation,Washington,98014,"Moss Removal (1, $175), Preventative Roof Treatment - Chemical Spray (1, $200), Preventative Roof Treatment - Zinc Powder (1, $175), Gutter Clearing (1, $335), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Partial Starter Flashing Installation (1, $250), Mirror Cleaning (1, $150), Interior Window Cleaning (1, $250), Exterior Window Cleaning (1, $345), Screen Cleaning (1, $65), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-80), Booking Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $275), Gutter Guard Installation (1, $1690), Track Cleaning (1, $212), Window Frame Cleaning  (1, $138), Pressure Washing - Driveway & Front Walkway/Porch (1, $495)",175,Composite - Architectural,3590,1857300,699394,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
10228 147th Avenue Southeast,Newcastle,Washington,98059,"Gutter Clearing (1, $300), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Guard Removal and Reinstallation (1, $385), Booking Discount (1, $-50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $205), Preventative Roof Treatment - Zinc Powder (1, $180), Exterior Gutter Washing (1, $250), House Wash (1, $1285), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $300), Screen Cleaning (1, $60), Track Cleaning (1, $178), Window Frame Cleaning  (1, $120), Window Cleaning Discount (1, $-50), Pressure Washing - Driveway  (1, $565)",180,Composite - Architectural,2480,1015300,788850,N/A,,Composite - Architectural,5 / 12,1 - 3,28ft,1 - 3,28ft,1 - 3,28ft,,,
10235 39th Avenue Southwest,Seattle,Washington,98146,"Exterior Window Cleaning (1, $265), Screen Cleaning (1, $45), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $145), Gutter Clearing (1, $275), Exterior Gutter Washing (1, $205), Gutter Guard Installation (1, $1350), House Wash (1, $1080), Track Cleaning (1, $174), Window Frame Cleaning  (1, $106)",145,Composite - Architectural,1120,629000,843475,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
